SRC IP,Arrival Time,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate
192.168.29.8,1235.2525119781494,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,5.91001296043396,11.167488200424142
192.168.29.8,1241.3619210720062,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,12.019422054290771,5.491112609398627
192.168.29.8,1242.0119140148163,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,12.66941499710083,5.209396015135894
192.168.29.8,1242.625962972641,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,13.283463954925537,4.968583512851485
192.168.29.8,1243.2439160346985,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,13.901417016983032,4.74771743911929
192.168.29.8,1243.8528671264648,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,14.51036810874939,4.548471789644237
192.168.29.8,1249.8612320423126,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,20.518733024597168,3.216572871282131
192.168.29.8,1250.4073839187622,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,21.064884901046753,3.133176388574539
192.168.29.8,1251.0241589546204,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,21.681659936904907,3.0440473742353884
192.168.29.8,1251.636591911316,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,22.294092893600464,2.9604254505885437
192.168.29.8,1252.2499260902405,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,22.907427072525024,2.8811616333446652
192.168.29.8,1258.3940260410309,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,29.05152702331543,2.271825503252597
192.168.29.8,1259.0230510234833,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,29.680552005767822,2.2236783192972362
192.168.29.8,1259.571694135666,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,30.22919511795044,2.1833197920909395
192.168.29.8,1260.1356151103973,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,30.793116092681885,2.1433361859628484
192.168.29.8,1260.6533489227295,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,31.310849905014038,2.107895512265572
192.168.29.8,1266.7916150093079,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,37.44911599159241,1.762391401036475
192.168.29.8,1267.4078171253204,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,38.06531810760498,1.7338617744748077
192.168.29.8,1268.0246441364288,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,38.68214511871338,1.7062135462614503
192.168.29.8,1268.6338250637054,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,39.29132604598999,1.6797600549991072
192.168.29.8,1269.250067949295,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,39.90756893157959,1.6538216124654237
192.168.29.8,1275.2950880527496,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,45.95258903503418,1.4362629263322184
192.168.29.8,1275.904002904892,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,46.561503887176514,1.4174799886173144
192.168.29.8,1276.518466949463,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,47.17596793174744,1.3990174000348339
192.168.29.8,1277.1332740783691,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,47.79077506065369,1.3810196615609616
192.168.29.8,1277.7475581169128,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,48.40505909919739,1.3634938419297242
192.168.29.8,1283.7633969783783,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,54.42089796066284,1.2127694042775057
192.168.29.8,1284.301432132721,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,54.95893311500549,1.2008966742838745
192.168.29.8,1285.0189969539642,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,55.67649793624878,1.185419386032001
192.168.29.8,1285.6363079547882,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,56.293808937072754,1.1724202225110967
192.168.29.8,1286.247081041336,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,56.904582023620605,1.159836302331576
192.168.29.8,1292.2907209396362,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,2.9482219219207764,22.38637448194564
192.168.29.8,1292.798772096634,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,3.456273078918457,19.09571335742164
192.168.29.8,1293.3087410926819,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,3.9662420749664307,16.640436653266708
192.168.29.8,1294.0299899578094,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,4.687490940093994,14.080027213594265
192.168.29.8,1294.5755739212036,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,5.233074903488159,12.612087771953547
192.168.29.8,1300.7895550727844,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,11.44705605506897,5.765674570168106
192.168.29.8,1301.4046540260315,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,12.06215500831604,5.471659082021203
192.168.29.8,1302.019257068634,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,12.676758050918579,5.206378455351014
192.168.29.8,1302.528974056244,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,13.186475038528442,5.005128346063691
192.168.29.8,1303.1425049304962,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,13.800005912780762,4.782606646485176
